track,note,velocity,time
1,54,76,1
1,66,90,0
1,66,0,239
1,54,0,0
1,55,96,240
1,55,0,480
1,66,86,960
1,54,73,0
1,54,0,120
1,66,0,0
1,54,69,120
1,66,82,0
1,66,0,120
1,54,0,0
1,55,91,120
1,55,0,480
1,53,76,960
1,65,90,0
1,65,0,240
1,53,0,0
1,56,93,240
1,56,0,240
1,55,87,0
1,55,0,240
1,65,86,960
1,53,73,0
1,53,0,120
1,65,0,0
1,53,69,120
1,65,82,0
1,65,0,120
1,53,0,0
1,56,90,120
1,56,0,240
1,55,85,0
1,55,0,180
1,56,90,60
1,56,0,240
1,55,87,0
1,55,0,180
1,55,86,540
1,55,0,480
1,55,82,0
1,55,0,480
1,55,95,0
1,56,85,240
1,56,0,120
1,55,0,120
1,55,83,0
1,65,77,240
1,65,0,120
1,55,0,120
1,55,85,0
1,55,0,480
1,55,83,0
1,55,0,480
1,55,94,0
1,56,84,240
1,56,0,240
1,55,0,0
1,55,83,0
1,61,77,240
1,61,0,120
1,55,0,120
1,55,88,0
1,56,82,240
1,56,0,240
1,55,0,0
1,55,84,0
1,65,75,240
1,65,0,120
1,55,0,120
1,55,83,0
1,56,76,240
1,56,0,240
1,55,0,0
1,55,82,0
1,61,77,240
1,61,0,240
1,55,0,0
1,55,84,0
1,55,0,480
1,55,82,0
1,55,0,480
1,55,85,0
1,55,0,480
1,55,84,0
1,55,0,480
1,55,71,0
1,55,0,120
1,60,65,120
1,60,0,120
1,56,84,120
1,56,0,120
1,61,73,120
1,61,0,120
1,57,72,120
1,57,0,120
1,62,71,120
1,62,0,120
1,58,81,120
1,58,0,120
1,63,70,120
1,63,0,120
1,55,73,120
1,55,0,120
1,60,68,120
1,60,0,120
1,56,88,120
1,56,0,120
1,61,77,120
1,61,0,120
1,57,75,120
1,57,0,120
1,62,74,120
1,62,0,120
1,58,87,120
1,58,0,120
1,63,74,120
1,63,0,120
1,55,76,120
1,55,0,120
1,60,70,120
1,60,0,120
1,56,90,120
1,56,0,120
1,61,80,120
1,61,0,120
1,57,78,120
1,57,0,120
1,62,77,120
1,62,0,120
1,58,89,120
1,58,0,120
1,63,76,120
1,63,0,120
1,55,81,120
1,55,0,120
1,60,75,120
1,60,0,120
1,56,99,120
1,56,0,120
1,61,86,120
1,61,0,120
1,57,88,120
1,57,0,120
1,62,83,120
1,62,0,120
1,58,99,120
1,58,0,120
1,63,84,120
1,63,0,120
1,89,62,60
1,89,0,60
1,76,64,0
1,84,76,0
1,88,76,0
1,88,0,120
1,84,0,0
1,76,0,0
1,87,60,300
1,87,0,60
1,80,72,0
1,85,72,0
1,77,61,0
1,77,0,120
1,85,0,0
1,80,0,0
1,86,58,300
1,86,0,60
1,74,61,0
1,78,72,0
1,84,72,0
1,84,0,120
1,78,0,0
1,74,0,0
1,84,55,300
1,84,0,60
1,70,58,0
1,82,69,0
1,79,69,0
1,79,0,120
1,82,0,0
1,70,0,0
1,77,58,300
1,77,0,60
1,76,72,0
1,72,72,0
1,64,61,0
1,64,0,120
1,72,0,0
1,76,0,0
1,75,56,300
1,75,0,60
1,73,68,0
1,65,57,0
1,68,68,0
1,68,0,120
1,65,0,0
1,73,0,0
1,74,54,300
1,74,0,60
1,66,68,0
1,62,57,0
1,72,68,0
1,72,0,120
1,62,0,0
1,66,0,0
1,72,52,300
1,72,0,60
1,70,65,0
1,67,65,0
1,58,55,0
1,58,0,120
1,67,0,0
1,70,0,0
1,65,55,300
1,65,0,60
1,55,57,0
1,60,68,0
1,64,68,0
1,64,0,120
1,60,0,0
1,55,0,0
1,63,54,300
1,63,0,60
1,56,64,0
1,61,64,0
1,53,54,0
1,53,0,120
1,61,0,0
1,56,0,0
1,62,52,300
1,62,0,60
1,50,54,0
1,54,64,0
1,60,64,0
1,60,0,120
1,54,0,0
1,50,0,0
1,60,49,300
1,60,0,60
1,51,52,0
1,58,62,0
1,55,62,0
1,55,0,120
1,58,0,0
1,51,0,0
1,55,88,360
1,55,0,120
1,60,73,120
1,60,0,120
1,56,85,120
1,56,0,120
1,61,71,120
